subject,category,severity,timestamp,explanation,value_snippet,recommendation
hub_gateway,attack_surface_indicator,critical,2026-04-14T19:17:00,Synthetic inbound probe targeted management port(s) [8443] from 203.0.113.90.,unsolicited SYN to management interface,"Restrict externally reachable management interfaces, require strong authentication, and block unsolicited inbound access."
plug_kitchen -> telemetry.ads-insight.example:8080,background_communication,high,2026-04-14T06:16:00,Synthetic beaconing to telemetry.ads-insight.example:8080 repeated about every 45 minutes.,10 records; interval_stdev=63s,"Investigate recurring telemetry, reduce beacon frequency, and require encrypted transport for any retained background traffic."
plug_kitchen -> telemetry.ads-insight.example:8080,plaintext_http_observed,high,2026-04-14T06:16:00,"Synthetic HTTP records used port 8080, leaving URL and payload metadata in cleartext.",http://telemetry.ads-insight.example/beacon,Retire plaintext HTTP endpoints and require HTTPS or another authenticated encrypted transport.
plug_kitchen -> ads-insight.example,third_party_destination,high,2026-04-14T06:16:00,Synthetic records contacted non-approved external domain ads-insight.example.,telemetry.ads-insight.example,"Review third-party data flows, minimize disclosures, and document whether the destination is operationally necessary."
plug_kitchen -> telemetry.ads-insight.example,plaintext_identifier_exposure,high,2026-04-14T08:31:00,"Synthetic non-TLS record encoded device_id, phone in the URL or payload sent to telemetry.ads-insight.example.",device_id=PLUG-K-8821&support_phone=+447700900124&state=standby,"Use encrypted transport for diagnostics and remove tokens, contact data, and device IDs from cleartext fields."
hub_gateway -> legacy-backup.smarthub.example,weak_transport,high,2026-04-14T09:40:00,Synthetic backup records used legacy transport version TLS1.0 for legacy-backup.smarthub.example.,legacy-backup.smarthub.example via TLS1.0,"Require TLS 1.2+ across all backup, management, and telemetry paths."
plug_kitchen -> telemetry.ads-insight.example,plaintext_identifier_exposure,high,2026-04-14T11:29:00,Synthetic non-TLS record encoded token in the URL or payload sent to telemetry.ads-insight.example.,session_token=tok_plug_8821&diagnostic=power_cycle,"Use encrypted transport for diagnostics and remove tokens, contact data, and device IDs from cleartext fields."
cam_livingroom -> diag.vendorvideo.example,plaintext_identifier_exposure,high,2026-04-14T13:25:00,"Synthetic non-TLS record encoded device_id, email, phone, token in the URL or payload sent to diag.vendorvideo.example.",owner_email=resident@example.net&phone=+447700900123&auth_token=tok_cam_a19f4411,"Use encrypted transport for diagnostics and remove tokens, contact data, and device IDs from cleartext fields."
hub_gateway -> support-tunnel.remoteassist.example,plaintext_identifier_exposure,high,2026-04-14T19:15:00,"Synthetic non-TLS record encoded device_id, token in the URL or payload sent to support-tunnel.remoteassist.example.",serial=HUB-99128&auth_token=tok_hub_99128&mode=remote_shell,"Use encrypted transport for diagnostics and remove tokens, contact data, and device IDs from cleartext fields."
hub_gateway -> support-tunnel.remoteassist.example:2323,suspicious_port,high,2026-04-14T19:15:00,Synthetic remote-support style record used uncommon destination port 2323.,serial=HUB-99128&auth_token=tok_hub_99128&mode=remote_shell,"Confirm the business need for this port, close it if unnecessary, and restrict it with allowlisting."
hub_gateway -> remoteassist.example,third_party_destination,high,2026-04-14T19:15:00,Synthetic record contacted non-approved external domain remoteassist.example.,support-tunnel.remoteassist.example,"Review third-party data flows, minimize disclosures, and document whether the destination is operationally necessary."
plug_kitchen,mixed_transport,medium,2026-04-14T06:16:00,Synthetic subject mixed encrypted sessions with 10 non-TLS application record(s).,non_tls_domains=ads-insight.example,Remove plaintext fallbacks so each device profile uses a single encrypted application transport posture.
cam_livingroom,mixed_transport,medium,2026-04-14T13:25:00,Synthetic subject mixed encrypted sessions with 2 non-TLS application record(s).,non_tls_domains=vendorvideo.example,Remove plaintext fallbacks so each device profile uses a single encrypted application transport posture.
cam_livingroom -> diag.vendorvideo.example:80,plaintext_http_observed,medium,2026-04-14T13:25:00,"Synthetic HTTP record used port 80, leaving URL and payload metadata in cleartext.",http://diag.vendorvideo.example/upload?device_id=CAM-A19F-7781,Retire plaintext HTTP endpoints and require HTTPS or another authenticated encrypted transport.
hub_gateway -> partnercloud.example,third_party_destination,medium,2026-04-14T14:25:00,Synthetic record contacted non-approved external domain partnercloud.example.,backup-storage.partnercloud.example,"Review third-party data flows, minimize disclosures, and document whether the destination is operationally necessary."
cam_livingroom -> family-room-cam.vendorvideo.example,hostname_exposure,medium,2026-04-14T16:10:00,"Synthetic non-TLS traffic used contextual hostname 'family-room-cam.vendorvideo.example', directly exposing location-style naming.",family-room-cam.vendorvideo.example,Avoid embedding contextual identifiers in externally visible hostnames and protect the channel with TLS.
cam_livingroom -> family-room-cam.vendorvideo.example:80,plaintext_http_observed,medium,2026-04-14T16:10:00,"Synthetic HTTP record used port 80, leaving URL and payload metadata in cleartext.",http://family-room-cam.vendorvideo.example/status?device_id=CAM-A19F-7781,Retire plaintext HTTP endpoints and require HTTPS or another authenticated encrypted transport.
cam_livingroom -> family-room-cam.vendorvideo.example,plaintext_identifier_exposure,medium,2026-04-14T16:10:00,Synthetic non-TLS record encoded device_id in the URL or payload sent to family-room-cam.vendorvideo.example.,serial=CAM-A19F-7781;mode=maintenance,"Use encrypted transport for diagnostics and remove tokens, contact data, and device IDs from cleartext fields."
cam_livingroom -> analytics-partner.example,third_party_destination,medium,2026-04-14T17:15:00,Synthetic record contacted non-approved external domain analytics-partner.example.,video-metrics.analytics-partner.example,"Review third-party data flows, minimize disclosures, and document whether the destination is operationally necessary."
hub_gateway,mixed_transport,medium,2026-04-14T19:15:00,Synthetic subject mixed encrypted sessions with 1 non-TLS application record(s).,non_tls_domains=remoteassist.example,Remove plaintext fallbacks so each device profile uses a single encrypted application transport posture.
